Time,Open,High,Low,Close
2017-11-02 13:00:00,114.092,114.152,114.037,114.127
2017-11-02 12:00:00,114.178,114.216,114.1,114.126
2017-11-02 11:00:00,114.099,114.156,114.082,114.145
2017-11-02 10:00:00,114.047,114.129,114.047,114.11
2017-11-02 09:00:00,114.084,114.094,114.019,114.045
2017-11-02 08:00:00,114.029,114.18,114.028,114.068
2017-11-02 07:00:00,113.885,114.075,113.849,114.038
2017-11-02 06:00:00,113.93,113.957,113.878,113.89
2017-11-02 05:00:00,113.907,113.989,113.904,113.918
2017-11-02 04:00:00,113.912,113.968,113.897,113.9
2017-11-02 03:00:00,113.916,113.95,113.898,113.908
2017-11-02 02:00:00,113.846,113.922,113.825,113.9
2017-11-02 01:00:00,114.014,114.022,113.755,113.857
2017-11-02 00:00:00,114.186,114.193,113.968,114.026
2017-11-01 23:00:00,114.17,114.196,114.116,114.189
2017-11-01 22:00:00,114.144,114.195,114.129,114.143
2017-11-01 21:00:00,114.194,114.198,114.133,114.133
2017-11-01 20:00:00,114.149,114.176,114.06,114.164
2017-11-01 19:00:00,114.235,114.249,114.102,114.139
2017-11-01 18:00:00,113.967,114.21,113.788,114.209
2017-11-01 17:00:00,114.03,114.03,113.881,113.885
2017-11-01 16:00:00,114.053,114.08,114.007,114.02
2017-11-01 15:00:00,113.979,114.08,113.873,114.079
2017-11-01 14:00:00,114.26,114.26,113.906,114.027
2017-11-01 13:00:00,114.195,114.29,114.176,114.249
2017-11-01 12:00:00,114.065,114.232,114.04,114.203
2017-11-01 11:00:00,114.013,114.054,113.993,114.042
2017-11-01 10:00:00,114.009,114.05,113.996,114.028
2017-11-01 09:00:00,113.982,114.002,113.916,113.98
2017-11-01 08:00:00,113.91,113.99,113.885,113.989
2017-11-01 07:00:00,113.859,113.961,113.848,113.943
2017-11-01 06:00:00,113.936,113.939,113.743,113.872
2017-11-01 05:00:00,113.876,113.971,113.87,113.94
2017-11-01 04:00:00,113.846,113.901,113.844,113.865
2017-11-01 03:00:00,113.885,113.898,113.823,113.844
2017-11-01 02:00:00,113.914,113.914,113.863,113.867
2017-11-01 01:00:00,113.893,113.937,113.858,113.896
2017-11-01 00:00:00,113.664,113.863,113.654,113.859
2017-10-31 23:00:00,113.651,113.686,113.647,113.674
2017-10-31 22:00:00,113.669,113.672,113.619,113.642
2017-10-31 21:00:00,113.65,113.696,113.647,113.683
2017-10-31 20:00:00,113.696,113.718,113.652,113.655
2017-10-31 19:00:00,113.714,113.722,113.618,113.676
2017-10-31 18:00:00,113.694,113.719,113.662,113.678
2017-10-31 17:00:00,113.708,113.726,113.667,113.69
2017-10-31 16:00:00,113.629,113.728,113.629,113.674
2017-10-31 15:00:00,113.45,113.516,113.386,113.502
2017-10-31 14:00:00,113.444,113.54,113.397,113.45
2017-10-31 13:00:00,113.426,113.494,113.413,113.442
2017-10-31 12:00:00,113.336,113.448,113.294,113.403
2017-10-31 11:00:00,113.381,113.435,113.318,113.335
2017-10-31 10:00:00,113.265,113.379,113.246,113.374
2017-10-31 09:00:00,113.201,113.319,113.191,113.273
2017-10-31 08:00:00,113.096,113.179,113.049,113.172
2017-10-31 07:00:00,112.992,113.168,112.971,113.144
2017-10-31 06:00:00,113.162,113.162,112.998,113.022
2017-10-31 05:00:00,113.204,113.204,113.079,113.16
2017-10-31 04:00:00,113.172,113.216,113.166,113.186
2017-10-31 03:00:00,113.1,113.251,113.099,113.169
2017-10-31 02:00:00,113.174,113.179,113.078,113.078
2017-10-31 01:00:00,113.148,113.189,113.126,113.186
2017-10-31 00:00:00,113.026,113.14,113.024,113.138
2017-10-30 23:00:00,113.149,113.203,113.088,113.09
2017-10-30 22:00:00,113.177,113.18,113.117,113.134
2017-10-30 21:00:00,113.204,113.208,113.175,113.177
2017-10-30 20:00:00,113.138,113.201,113.111,113.195
2017-10-30 19:00:00,113.172,113.193,113.123,113.144
2017-10-30 18:00:00,113.161,113.208,113.128,113.204
2017-10-30 17:00:00,113.132,113.23,113.129,113.133
2017-10-30 16:00:00,113.258,113.276,113.06,113.146
2017-10-30 15:00:00,113.438,113.487,113.227,113.236
2017-10-30 14:00:00,113.44,113.546,113.412,113.445
2017-10-30 13:00:00,113.637,113.638,113.403,113.494
2017-10-30 12:00:00,113.667,113.679,113.56,113.585
2017-10-30 11:00:00,113.596,113.673,113.584,113.67
2017-10-30 10:00:00,113.624,113.63,113.576,113.604
2017-10-30 09:00:00,113.632,113.641,113.561,113.624
2017-10-30 08:00:00,113.731,113.749,113.62,113.626
2017-10-30 07:00:00,113.669,113.76,113.669,113.756
2017-10-30 06:00:00,113.626,113.688,113.626,113.666
2017-10-30 05:00:00,113.614,113.649,113.599,113.602
2017-10-30 04:00:00,113.602,113.644,113.56,113.638
2017-10-30 03:00:00,113.647,113.656,113.562,113.612
2017-10-30 02:00:00,113.692,113.693,113.567,113.637
2017-10-30 01:00:00,113.693,113.758,113.646,113.665
2017-10-30 00:00:00,113.734,113.844,113.675,113.693
2017-10-29 23:00:00,113.75,113.76,113.695,113.755
2017-10-29 22:00:00,113.745,113.814,113.725,113.749
2017-10-29 21:00:00,113.751,113.756,113.702,113.745
2017-10-27 20:00:00,113.699,113.721,113.652,113.704
2017-10-27 19:00:00,113.813,113.842,113.687,113.7
2017-10-27 18:00:00,113.892,113.916,113.833,113.847
2017-10-27 17:00:00,113.993,114.01,113.884,113.889
2017-10-27 16:00:00,113.849,113.992,113.837,113.982
2017-10-27 15:00:00,113.862,113.903,113.809,113.818
2017-10-27 14:00:00,114.118,114.141,113.732,113.781
2017-10-27 13:00:00,114.256,114.313,113.973,114.082
2017-10-27 12:00:00,114.161,114.405,114.155,114.275
2017-10-27 11:00:00,114.082,114.192,114.08,114.186
2017-10-27 10:00:00,114.036,114.102,113.996,114.08
2017-10-27 09:00:00,114.028,114.064,113.973,114.036
2017-10-27 08:00:00,114.117,114.139,113.933,113.996
